,REDSHIFT,TNG_ID,PROJECTION,SERSIC_IDX,HALFLIGHT_RAD,HALFLIGHT_BRIGHTNESS,AXIS_RATIO,LUM_HALFLIGHT_RAD,LUM_TWO_HALFLIGHT_RAD,MASS_STAR_HALFLIGHT_RAD,MASS_STAR_TWO_HALFLIGHT_RAD,LOS_SIGMA,MLR,SFR,SPS_LUM,SPS_LUM_HALFLIGHT_RAD,SPS_LUM_TWO_HALFLIGHT_RAD,MASS_GAS,MASS_STAR,TNG_MASS_STAR_HALFLIGHT_RAD,TNG_MASS_STAR_TWO_HALFLIGHT_RAD,HMRAD_STAR,MASS_DM,MASS_DM_HMR,MASS_ALL,MASS_ALL_HMR,SLOPE_STAR,SLOPE_GAS,SLOPE_DM,SLOPE_ALL,INTERCEPT_STAR,INTERCEPT_GAS,INTERCEPT_DM,INTERCEPT_ALL
3782,0.03,259541.0,0,4.452829297396103,0.9392243980137384,5.654468644649613,0.7593128911736903,10.465762416412005,10.599693098858138,11.140674260515006,11.274604942961139,2.3700076854307524,4.730552254121662,0.039821732789278,10.65721781827778,10.410831329506543,10.563173699160386,12.280489676782281,11.332129662380781,11.063116864763845,11.210367736700992,1.1360175919485311,13.260941471328676,11.37123656674791,13.31035160738662,11.580759314111244,3.1155655456889755,0.5297903773848381,1.6928640270425797,1.8843085274218123,6.3380613015162925,4.40014269080574,7.045899763446192,7.145146197065192
3783,0.03,259541.0,1,5.254977839209447,0.9848273270893251,5.567601387514626,0.5988291732259204,10.505026629850363,10.630127546207072,11.179938473953364,11.305039390310075,2.3018715373774983,4.730552254121662,0.039821732789278,10.65721781827778,10.410831329506543,10.563173699160386,12.280489676782281,11.332129662380781,11.088937977456927,11.229499668696233,1.1360175919485311,13.260941471328676,11.37123656674791,13.31035160738662,11.580759314111244,3.1155655456889755,0.5297903773848381,1.6928640270425797,1.8843085274218123,6.3380613015162925,4.40014269080574,7.045899763446192,7.145146197065192
3784,0.03,259541.0,2,7.289899181218384,1.0363975923440782,5.44237734566625,0.7739505590634492,10.55240644375345,10.66136675852116,11.227318287856452,11.336278602624162,2.263527777308473,4.730552254121662,0.039821732789278,10.65721781827778,10.410831329506543,10.563173699160386,12.280489676782281,11.332129662380781,11.116643474648209,11.250457639446633,1.1360175919485311,13.260941471328676,11.37123656674791,13.31035160738662,11.580759314111244,3.1155655456889755,0.5297903773848381,1.6928640270425797,1.8843085274218123,6.3380613015162925,4.40014269080574,7.045899763446192,7.145146197065192
3785,0.08,391413.0,0,7.35344793205277,0.5894479901154344,5.699391950568054,0.8426790550075771,9.917370652651396,10.025926529836076,10.590436266598005,10.698992143782682,2.133696854263342,4.710484878253567,0.0,10.093929634751923,9.770139553769821,9.92100133874095,11.08643932469427,10.766995248698532,10.451858765019935,10.603630408223612,0.7583526914908936,12.62991573598585,10.531618828304927,12.648839155472658,10.833843566421647,3.1652550421028947,1.348181502796651,1.6191935642057371,1.9363713326520449,6.928279374887428,4.440933435335952,7.4169544097051,7.572360038193299
3786,0.08,391413.0,1,8.866207614249166,0.6467066121143948,5.601856980735279,0.722530598529123,9.97427320880526,10.074403851858683,10.647338822751868,10.747469465805292,2.081606006869928,4.710484878253567,0.0,10.093929634751923,9.770139553769821,9.92100133874095,11.08643932469427,10.766995248698532,10.485800344078685,10.626131081556366,0.7583526914908936,12.62991573598585,10.531618828304927,12.648839155472658,10.833843566421647,3.1652550421028947,1.348181502796651,1.6191935642057371,1.9363713326520449,6.928279374887428,4.440933435335952,7.4169544097051,7.572360038193299
3787,0.08,391413.0,2,7.259022195881744,0.6200335806683439,5.650803497551057,0.6282467537140807,9.927200564244918,10.036359101442336,10.600266178191527,10.709424715388945,2.090428152979332,4.710484878253567,0.0,10.093929634751923,9.770139553769821,9.92100133874095,11.08643932469427,10.766995248698532,10.470330918865974,10.615772271435667,0.7583526914908936,12.62991573598585,10.531618828304927,12.648839155472658,10.833843566421647,3.1652550421028947,1.348181502796651,1.6191935642057371,1.9363713326520449,6.928279374887428,4.440933435335952,7.4169544097051,7.572360038193299
3788,0.05,495435.0,0,2.425131397504324,0.4402680946710916,6.237522498774287,0.55853797143032,9.924678619939492,10.094636067959446,10.466066479388088,10.636023927408042,2.01805292565244,3.478466774614531,0.0198908150196075,10.201833060537462,9.67634665886218,9.925614269853376,10.472859063890702,10.743220919986058,10.191199031669335,10.451685135860913,0.7594614071592023,12.005052115398616,10.470415569551816,12.04055389725193,10.762674480810507,3.1094391985274745,0.3549282753325048,1.8777141050722563,2.169839859790941,6.954089448623293,4.851842575163522,7.2758526848371,7.470697935037553
3789,0.05,495435.0,1,2.8316281034399213,0.6117049548888144,5.887857917748308,0.8809015726137017,9.949730124281226,10.109989960515463,10.491117983729824,10.65137781996406,1.9903308393604664,3.478466774614531,0.0198908150196075,10.201833060537462,9.67634665886218,9.925614269853376,10.472859063890702,10.743220919986058,10.353269919352858,10.561206750512865,0.7594614071592023,12.005052115398616,10.470415569551816,12.04055389725193,10.762674480810507,3.1094391985274745,0.3549282753325048,1.8777141050722563,2.169839859790941,6.954089448623293,4.851842575163522,7.2758526848371,7.470697935037553
3790,0.05,495435.0,2,2.501462640648028,0.6021997692652731,5.9226698553884845,0.6718455217385333,9.940034135389642,10.108026914175433,10.481421994838238,10.649414773624029,1.9839743498636888,3.478466774614531,0.0198908150196075,10.201833060537462,9.67634665886218,9.925614269853376,10.472859063890702,10.743220919986058,10.345960183261615,10.555476327254395,0.7594614071592023,12.005052115398616,10.470415569551816,12.04055389725193,10.762674480810507,3.1094391985274745,0.3549282753325048,1.8777141050722563,2.169839859790941,6.954089448623293,4.851842575163522,7.2758526848371,7.470697935037553
3791,0.0,376356.0,0,4.379636349909768,0.9945745076090111,5.306673860568844,0.4377204889357218,10.22518298419977,10.36002151199983,10.845336842143425,10.980175369943483,2.135210117512395,4.170170943701108,0.0022487451788038,10.378528350439371,10.140678755217312,10.300865007949364,11.349314285030296,10.998682208383023,10.80306112440202,10.940853162806508,1.12583565935027,12.803170354510684,11.110533795098503,12.827846731963959,11.308688106011864,3.0385033127346914,0.5546473918812695,1.7202571053561018,1.8902819540328977,6.027676707703753,4.288981160767628,6.763929592359551,6.856370563414696
