0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
305460.0,4.1528779569873535,7.585976676373478,36342387698.83423,0.8073392774226732,13.9429,34.6026,661.523,710.145,0.6756,0.3725129130973724,-3.089019623073315,-1.7520730172068997,-1.943578684599934,0.03,6.521659772140041,7.177745284430332,7.287498277983697,7.2121,47083137161.88856,4.371712651181851
305460.0,4.443725721649047,7.497030510586639,37403461863.22572,0.8460515933806688,13.9429,34.6026,661.523,710.145,0.6756,0.3725129130973724,-3.089019623073315,-1.7520730172068997,-1.943578684599934,0.03,6.521659772140041,7.177745284430332,7.287498277983697,7.2121,47083137161.88856,4.371712651181851
214472.0,2.4819950240556863,14.666512256149884,91048704034.37885,0.7559227390836443,35.3297,314.403,2383.07,2732.96,0.651962,-1.173398190679278,-2.9597872281771536,-1.5899736947042302,-1.7014704927755184,0.03,5.662876135370552,6.6085491721243095,6.673589301043227,18.9161,135786039452.61835,3.8415949273907497
214472.0,5.161349866085767,22.14166424395911,110665988026.36192,0.7677217919461328,35.3297,314.403,2383.07,2732.96,0.651962,-1.173398190679278,-2.9597872281771536,-1.5899736947042302,-1.7014704927755184,0.03,5.662876135370552,6.6085491721243095,6.673589301043227,18.9161,135786039452.61835,3.8415949273907497
214472.0,3.0362031915759005,18.768636702011342,101392869338.15584,0.6987145704646666,35.3297,314.403,2383.07,2732.96,0.651962,-1.173398190679278,-2.9597872281771536,-1.5899736947042302,-1.7014704927755184,0.03,5.662876135370552,6.6085491721243095,6.673589301043227,18.9161,135786039452.61835,3.8415949273907497
468487.0,5.341436128770924,3.499757894888284,11953833749.416374,0.8231239307789892,3.76998,1.74967,135.503,141.041,0.0,-2.2893549909793958,-3.208408276122974,-1.818061868807738,-2.120875362379373,0.01,6.9009128990956174,7.348121404782444,7.509368586468548,3.4856,14198871579.491205,3.9195895770367506
468487.0,6.607120855924324,3.613161815927137,12785926347.697905,0.904428365593156,3.76998,1.74967,135.503,141.041,0.0,-2.2893549909793958,-3.208408276122974,-1.818061868807738,-2.120875362379373,0.01,6.9009128990956174,7.348121404782444,7.509368586468548,3.4856,14198871579.491205,3.9195895770367506
468487.0,6.387784979148229,3.420807990285408,12350687625.206356,0.7313790797929521,3.76998,1.74967,135.503,141.041,0.0,-2.2893549909793958,-3.208408276122974,-1.818061868807738,-2.120875362379373,0.01,6.9009128990956174,7.348121404782444,7.509368586468548,3.4856,14198871579.491205,3.9195895770367506
446059.0,4.138514746094684,4.846093598173992,18751343070.8469,0.7535785993688869,4.11975,5.96079,126.747,136.841,0.0297028,1.0789506239093722,-3.0044529762941385,-1.7970497043620643,-2.1100932280649896,0.06,7.051898962664832,7.38839490370667,7.579342198732045,3.5169,17807770104.621258,3.41552761928649
446059.0,3.4104151940903757,3.672084805944388,16877948878.583796,0.7447572518196908,4.11975,5.96079,126.747,136.841,0.0297028,1.0789506239093722,-3.0044529762941385,-1.7970497043620643,-2.1100932280649896,0.06,7.051898962664832,7.38839490370667,7.579342198732045,3.5169,17807770104.621258,3.41552761928649
446059.0,3.013586708546216,2.9234213929205306,15704614185.42246,0.8570679576020871,4.11975,5.96079,126.747,136.841,0.0297028,1.0789506239093722,-3.0044529762941385,-1.7970497043620643,-2.1100932280649896,0.06,7.051898962664832,7.38839490370667,7.579342198732045,3.5169,17807770104.621258,3.41552761928649
361418.0,9.565064612941647,5.463482310226956,15502352117.01858,0.5723836398511051,5.45007,26.9213,456.437,488.839,0.0108264,-0.3444471053251784,-3.187295535901253,-1.6983183425662562,-1.940618775667685,0.0,6.789569365108105,7.427264212071369,7.545316923054946,3.9601,19360356372.47253,4.1576727496970625
361418.0,10.019783661149477,5.869138259264214,15427818370.831495,0.7145803285552175,5.45007,26.9213,456.437,488.839,0.0108264,-0.3444471053251784,-3.187295535901253,-1.6983183425662562,-1.940618775667685,0.0,6.789569365108105,7.427264212071369,7.545316923054946,3.9601,19360356372.47253,4.1576727496970625
