TNG_ID,REDSHIFT,SERSIC_IDX,HALFMASSRAD,SERSIC_LUM,AXIS_RATIO,MASS_STAR,MASS_GAS,MASS_DM,MASS_ALL,SFR,SLOPE_GAS,SLOPE_STAR,SLOPE_DM,SLOPE_ALL,INTERCEPT_GAS,INTERCEPT_STAR,INTERCEPT_DM,INTERCEPT_ALL,HMR_STAR,SPS_LUM,MLR
419888,0.1,2.687090723,4.8678064,16957192253,0.5709134546,4.72818,5.31702,171.575,181.641,0.00150307,-0.6739006629,-2.996721114,-1.811715289,-2.01012421,4.679852962,6.533856357,7.106707677,7.22813149,5.6934,18622732820,3.748336266
409427,0.1,3.582497417,3.886577716,16581246900,0.7272596375,4.94077,4.59348,161.407,170.959,0,-1.037072689,-2.974698594,-1.798641492,-2.117200377,4.851285952,7.057900554,7.37086853,7.566799554,3.8041,19013025578,3.836491394
409427,0.1,4.213535662,3.726395905,17851340838,0.8095611225,4.94077,4.59348,161.407,170.959,0,-1.037072689,-2.974698594,-1.798641492,-2.117200377,4.851285952,7.057900554,7.37086853,7.566799554,3.8041,19013025578,3.836491394
409427,0.1,4.255491094,4.570466548,19158375100,0.5505156478,4.94077,4.59348,161.407,170.959,0,-1.037072689,-2.974698594,-1.798641492,-2.117200377,4.851285952,7.057900554,7.37086853,7.566799554,3.8041,19013025578,3.836491394
382868,0.1,5.700739086,4.100403797,19306258196,0.8467239662,6.31485,12.0153,234.971,253.327,0.0336365,-0.1173669062,-3.127558743,-1.75711722,-2.123891355,4.721444372,7.13802773,7.475115338,7.672788573,3.768,22224878032,4.19462184
382868,0.1,4.99303734,3.972873821,18328339807,0.9611456171,6.31485,12.0153,234.971,253.327,0.0336365,-0.1173669062,-3.127558743,-1.75711722,-2.123891355,4.721444372,7.13802773,7.475115338,7.672788573,3.768,22224878032,4.19462184
382868,0.1,5.8404317,3.914037879,18783429288,0.5710655674,6.31485,12.0153,234.971,253.327,0.0336365,-0.1173669062,-3.127558743,-1.75711722,-2.123891355,4.721444372,7.13802773,7.475115338,7.672788573,3.768,22224878032,4.19462184
308851,0.1,2.762543015,8.44227218,24278965069,0.6028604092,10.1737,45.7627,637.123,693.119,1.12424,0.495401669,-2.864738409,-1.745832246,-1.837508041,4.904671329,6.335258288,7.184692327,7.257892177,7.5167,37380511401,4.018121944
308851,0.1,2.821782201,8.349682424,25546983774,0.5518299646,10.1737,45.7627,637.123,693.119,1.12424,0.495401669,-2.864738409,-1.745832246,-1.837508041,4.904671329,6.335258288,7.184692327,7.257892177,7.5167,37380511401,4.018121944
308851,0.1,3.210547677,10.8060708,25306253371,0.8597129564,10.1737,45.7627,637.123,693.119,1.12424,0.495401669,-2.864738409,-1.745832246,-1.837508041,4.904671329,6.335258288,7.184692327,7.257892177,7.5167,37380511401,4.018121944
400671,0.1,6.717610569,3.031354072,13013539874,0.6673031619,4.8628,4.22366,261.85,270.967,0,-2.439246708,-3.497472397,-1.823803254,-2.278017498,5.120524017,7.483717384,7.816586762,8.030254146,2.6579,16031397898,4.477853008
400671,0.1,9.883102688,3.458897121,14732259905,0.5930379326,4.8628,4.22366,261.85,270.967,0,-2.439246708,-3.497472397,-1.823803254,-2.278017498,5.120524017,7.483717384,7.816586762,8.030254146,2.6579,16031397898,4.477853008
400671,0.1,12.25545156,3.469512675,15831636226,0.614692453,4.8628,4.22366,261.85,270.967,0,-2.439246708,-3.497472397,-1.823803254,-2.278017498,5.120524017,7.483717384,7.816586762,8.030254146,2.6579,16031397898,4.477853008
394687,0.1,3.408361771,3.714005976,16049993091,0.7498021506,4.77637,8.60632,204.742,218.143,0.287764,1.61408203,-2.989633305,-1.755976943,-2.089594909,4.148851425,7.139320879,7.475575912,7.669138142,3.5446,17731206303,3.977569694
394687,0.1,2.666500182,5.381971576,15499444198,0.7044351011,4.77637,8.60632,204.742,218.143,0.287764,1.61408203,-2.989633305,-1.755976943,-2.089594909,4.148851425,7.139320879,7.475575912,7.669138142,3.5446,17731206303,3.977569694
394687,0.1,3.58267329,4.720551944,16327815846,0.6554643633,4.77637,8.60632,204.742,218.143,0.287764,1.61408203,-2.989633305,-1.755976943,-2.089594909,4.148851425,7.139320879,7.475575912,7.669138142,3.5446,17731206303,3.977569694
341798,0.1,4.644418102,6.582510641,20757522819,0.4417003117,7.15006,26.537,408.469,442.188,0.138666,-0.8200640023,-3.009551937,-1.748700275,-2.053977828,4.998878627,6.948146649,7.372714928,7.540404663,4.4446,25496900298,4.140195243
341798,0.1,3.410541777,5.873746171,18790832562,0.4374232926,7.15006,26.537,408.469,442.188,0.138666,-0.8200640023,-3.009551937,-1.748700275,-2.053977828,4.998878627,6.948146649,7.372714928,7.540404663,4.4446,25496900298,4.140195243
341798,0.1,3.908975821,4.695606275,19698821746,0.571736798,7.15006,26.537,408.469,442.188,0.138666,-0.8200640023,-3.009551937,-1.748700275,-2.053977828,4.998878627,6.948146649,7.372714928,7.540404663,4.4446,25496900298,4.140195243
381425,0.1,2.556360282,4.206651798,20381854949,0.8572186567,5.7378,2.93175,138.71,147.394,0.172197,-0.325227446,-3.030933888,-1.691399904,-2.083367769,5.27163782,7.08036019,7.291481001,7.534489838,3.9709,22568646110,3.753138334
381425,0.1,2.681608716,4.331773235,20637658047,0.7686570263,5.7378,2.93175,138.71,147.394,0.172197,-0.325227446,-3.030933888,-1.691399904,-2.083367769,5.27163782,7.08036019,7.291481001,7.534489838,3.9709,22568646110,3.753138334
381425,0.1,2.662632204,2.997318977,16576641332,0.891902773,5.7378,2.93175,138.71,147.394,0.172197,-0.325227446,-3.030933888,-1.691399904,-2.083367769,5.27163782,7.08036019,7.291481001,7.534489838,3.9709,22568646110,3.753138334
416255,0.1,3.856561334,2.993857195,12218794038,0.8806589948,4.10329,3.44967,152.465,160.035,0,-1.757595119,-3.024287312,-1.794381916,-2.075627249,4.906789711,7.056336594,7.490971107,7.650500867,3.3968,15684256272,3.862094502
416255,0.1,4.8737378,3.716275675,12905173389,0.5694632802,4.10329,3.44967,152.465,160.035,0,-1.757595119,-3.024287312,-1.794381916,-2.075627249,4.906789711,7.056336594,7.490971107,7.650500867,3.3968,15684256272,3.862094502
416255,0.1,5.523500854,3.891434029,13564808403,0.4380608489,4.10329,3.44967,152.465,160.035,0,-1.757595119,-3.024287312,-1.794381916,-2.075627249,4.906789711,7.056336594,7.490971107,7.650500867,3.3968,15684256272,3.862094502
