REDSHIFT,TNG_ID,PROJECTION,SERSIC_IDX,HALFLIGHT_RAD,HALFLIGHT_BRIGHTNESS,AXIS_RATIO,SERSIC_LUM,LUM_HALFLIGHT_RAD,LUM_TWO_HALFLIGHT_RAD,SERSIC_MASS_STAR,MASS_STAR_HALFLIGHT_RAD,MASS_STAR_TWO_HALFLIGHT_RAD,SIGMA_EFF,SIGMA_CORR,SIGMA_DYN,MLR,SFR,SPS_LUM,SPS_LUM_HALFLIGHT_RAD,SPS_LUM_TWO_HALFLIGHT_RAD,MASS_GAS,TNG_MASS_STAR_30KPC,TNG_MASS_STAR_HALFLIGHT_RAD,TNG_MASS_STAR_TWO_HALFLIGHT_RAD,HMRAD_STAR,MASS_DM,MASS_DM_HMR,MASS_ALL,MASS_ALL_HMR,SLOPE_STAR,SLOPE_GAS,SLOPE_DM,SLOPE_ALL,SLOPE_STAR_2,SLOPE_GAS_2,SLOPE_DM_2,SLOPE_ALL_2,AV_SLOPE_STAR,AV_SLOPE_GAS,AV_SLOPE_DM,AV_SLOPE_ALL,INTERCEPT_STAR,INTERCEPT_GAS,INTERCEPT_DM,INTERCEPT_ALL,INTERCEPT_STAR_2,INTERCEPT_GAS_2,INTERCEPT_DM_2,INTERCEPT_ALL_2,MASS_GAS_HMR,MASS_STAR_HMR,TNG_MASS_STAR
0.0,354986.0,0,13.725831325982115,0.7228464108983164,5.558053677170903,0.634918444362598,10.477471134857636,10.176441140312493,10.258997102963876,11.155888931968551,10.854858937423405,10.93741490007479,2.1030782539373947,2.126868809774843,2.2675082009971845,4.768895403306075,0.0003778059908654,10.217843915447506,9.990936493135674,10.097399984521015,11.725183636326102,10.896261712558422,10.704992367325936,10.796354545606832,0.6968792249230978,12.801209639955234,10.495568199652729,12.842494219424305,10.911451675662937,3.2899924372141744,1.2507756958187342,1.7263910294340137,2.149344794128832,3.419967951703175,2.2712683119893207,1.854481820897496,2.4276160336617605,3.418826384335349,1.647852021540795,1.7552604697825962,2.3769592008846674,9.410361421220223,5.696248411483063,8.650413978190342,9.154143555377674,9.486704467968018,6.557552455657641,8.721657535111541,9.314044391639582,7.2483466739125495,10.69573080197453,10.99946101596408
0.0,354986.0,2,11.74376598715532,0.6723084429969021,5.615997521782688,0.5440114885202619,10.40084541886437,10.099815425216535,10.188313568976078,11.079263215975285,10.778233222327453,10.866731366086992,2.1511908239548,2.1687527590519755,2.2665633094676667,4.768895403306075,0.0003778059908654,10.217843915447506,9.990936493135674,10.097399984521015,11.725183636326102,10.896261712558422,10.686666820311464,10.783985662252638,0.6968792249230978,12.801209639955234,10.495568199652729,12.842494219424305,10.911451675662937,3.2899924372141744,1.2507756958187342,1.7263910294340137,2.149344794128832,3.419967951703175,2.2712683119893207,1.854481820897496,2.4276160336617605,3.418826384335349,1.647852021540795,1.7552604697825962,2.3769592008846674,9.410361421220223,5.696248411483063,8.650413978190342,9.154143555377674,9.486704467968018,6.557552455657641,8.721657535111541,9.314044391639582,7.2483466739125495,10.69573080197453,10.99946101596408
0.02,460028.0,0,5.7628021541014975,0.4922365893811631,5.966473706553771,0.6431955140912353,10.239269651535723,9.93823968773114,10.058615745165396,10.8631292400566,10.562099276252018,10.682475333686272,2.081865055482207,2.1002568045736805,2.2357835680596256,4.205906255063016,0.0043678740039467,10.148754626835228,9.7364691407592,9.913593163443242,10.58705986378554,10.772614215356104,10.403305595544929,10.563334023374278,0.6596971847924166,12.306915938856328,10.43320521087853,12.328219265849524,10.770162243617884,3.060393296961484,-1.0710292126736265,1.812765400529564,2.1542816733376267,3.0415006702772973,1.112680658986909,1.7659703332288006,2.221785167104131,3.0111696959654584,1.4461467448994472,1.6370498953006505,2.1537885742417844,9.154388218569576,3.07513389427383,8.675839825125006,9.091305618610868,9.141669719944357,5.235277660418902,8.64959228101878,9.126725002501566,0.0,10.498154719761503,10.80127649871209
0.02,460028.0,1,4.34488240638751,0.4473868706081726,6.018324494981735,0.7139049362610524,10.141813772274192,9.840783875432782,9.976060361772394,10.76567336079507,10.46464346395366,10.599919950293271,2.180309966675241,2.193144294006037,2.23628279072422,4.205906255063016,0.0043678740039467,10.148754626835228,9.7364691407592,9.913593163443242,10.58705986378554,10.772614215356104,10.37083227556259,10.543830343717625,0.6596971847924166,12.306915938856328,10.43320521087853,12.328219265849524,10.770162243617884,3.060393296961484,-1.0710292126736265,1.812765400529564,2.1542816733376267,3.0415006702772973,1.112680658986909,1.7659703332288006,2.221785167104131,3.0111696959654584,1.4461467448994472,1.6370498953006505,2.1537885742417844,9.154388218569576,3.07513389427383,8.675839825125006,9.091305618610868,9.141669719944357,5.235277660418902,8.64959228101878,9.126725002501566,0.0,10.498154719761503,10.80127649871209
0.02,460028.0,2,6.372643228144462,0.548565495074944,5.843704648146172,0.8224193393555378,10.2504974040889,9.949467429826754,10.064848894272318,10.874356992609778,10.573327018347632,10.688708482793196,2.0609321639712253,2.080827506565126,2.232863692419687,4.205906255063016,0.0043678740039467,10.148754626835228,9.7364691407592,9.913593163443242,10.58705986378554,10.772614215356104,10.43999571138824,10.586490827034297,0.6596971847924166,12.306915938856328,10.43320521087853,12.328219265849524,10.770162243617884,3.060393296961484,-1.0710292126736265,1.812765400529564,2.1542816733376267,3.0415006702772973,1.112680658986909,1.7659703332288006,2.221785167104131,3.0111696959654584,1.4461467448994472,1.6370498953006505,2.1537885742417844,9.154388218569576,3.07513389427383,8.675839825125006,9.091305618610868,9.141669719944357,5.235277660418902,8.64959228101878,9.126725002501566,0.0,10.498154719761503,10.80127649871209
0.1,361571.0,0,7.152499697223424,0.725147324433096,5.6716819999030905,0.62207851039177,10.456188604973496,10.155158622911264,10.26500979895295,11.019857625725798,10.718827643663566,10.828678819705251,2.137286587890736,2.1652806649147145,2.211111962692741,3.6615841607198,0.5658562779426575,10.293960061118172,9.98270728810533,10.14354386081684,11.61148794285084,10.857629081870476,10.57321234189611,10.728377772417124,0.8516002890058425,12.599521935356291,10.581530638434485,12.65032261011134,10.906762340959416,3.143480770532169,0.8780312691023845,1.832167055987956,2.131428467545563,3.013933594306439,0.0236702451804699,1.7951773993461393,2.1730784995556527,3.063092895318757,-0.5797725134769006,1.641244860346691,2.107403141635963,9.346089743010587,6.2057657964344415,8.646023371914719,9.079284905889716,9.255506965305546,5.444140846368748,8.619814744561992,9.108204805101964,7.876444324623168,10.625446600034822,10.927806843412652
0.1,361571.0,1,6.987806169767818,0.803706698965049,5.53138651293669,0.6267617628107935,10.468053286555222,10.1670233057915,10.277973069840389,11.031722307307524,10.730692326543805,10.841642090592693,2.0752850137867034,2.097577901206846,2.2056614964845567,3.6615841607198,0.5658562779426575,10.293960061118172,9.98270728810533,10.14354386081684,11.61148794285084,10.857629081870476,10.621434493412718,10.75622089991276,0.8516002890058425,12.599521935356291,10.581530638434485,12.65032261011134,10.906762340959416,3.143480770532169,0.8780312691023845,1.832167055987956,2.131428467545563,3.013933594306439,0.0236702451804699,1.7951773993461393,2.1730784995556527,3.063092895318757,-0.5797725134769006,1.641244860346691,2.107403141635963,9.346089743010587,6.2057657964344415,8.646023371914719,9.079284905889716,9.255506965305546,5.444140846368748,8.619814744561992,9.108204805101964,7.876444324623168,10.625446600034822,10.927806843412652
0.1,361571.0,2,7.828992884898599,0.7226686261068638,5.685263803034911,0.7751463722141808,10.48407080905541,10.183040822953467,10.288712560656377,11.047739829807714,10.746709843705773,10.85238158140868,2.1243025832273097,2.154829533449006,2.2124880886347795,3.6615841607198,0.5658562779426575,10.293960061118172,9.98270728810533,10.14354386081684,11.61148794285084,10.857629081870476,10.571234746153507,10.727392297219016,0.8516002890058425,12.599521935356291,10.581530638434485,12.65032261011134,10.906762340959416,3.143480770532169,0.8780312691023845,1.832167055987956,2.131428467545563,3.013933594306439,0.0236702451804699,1.7951773993461393,2.1730784995556527,3.063092895318757,-0.5797725134769006,1.641244860346691,2.107403141635963,9.346089743010587,6.2057657964344415,8.646023371914719,9.079284905889716,9.255506965305546,5.444140846368748,8.619814744561992,9.108204805101964,7.876444324623168,10.625446600034822,10.927806843412652
0.02,373091.0,0,9.991751414480357,0.7410832629872712,5.663145249722886,0.8320883580011886,10.550911855170227,10.249881863237674,10.344918277509436,11.196113177236796,10.89508318530424,10.990119599576005,2.1636916301359745,2.191521083344399,2.294032314292996,4.417751897267202,0.1906095445156097,10.353055370013989,10.073186640917788,10.213731268828138,11.38894666991902,10.998256692080556,10.752219190382728,10.877280142544112,0.8159935106773499,12.650726803707562,10.774942697522023,12.684922245776484,11.081579194282892,3.120731530763137,-0.484763667035119,1.8485329477082773,2.1330023619405654,3.103524504231969,2.045644617789858,1.8919227608421512,2.2664121903150187,3.12917627354442,2.2249749187773102,2.070472428058624,2.373711748253388,9.438336565175875,3.839190795415913,8.844318995836966,9.235898402057174,9.42507163289997,6.171106865923568,8.873204970600463,9.327257018900273,7.001093935734022,10.782223483327684,11.085158904463814
0.02,373091.0,1,9.156966459157026,0.7192472536088222,5.708396336840619,0.6194571011313899,10.533822223214877,10.232792232766776,10.331525556031371,11.179023545281444,10.877993554833342,10.97672687809794,2.2031919359288463,2.233294131710856,2.293852838361809,4.417751897267202,0.1906095445156097,10.353055370013989,10.073186640917788,10.213731268828138,11.38894666991902,10.998256692080556,10.74212538059686,10.869774400250105,0.8159935106773499,12.650726803707562,10.774942697522023,12.684922245776484,11.081579194282892,3.120731530763137,-0.484763667035119,1.8485329477082773,2.1330023619405654,3.103524504231969,2.045644617789858,1.8919227608421512,2.2664121903150187,3.12917627354442,2.2249749187773102,2.070472428058624,2.373711748253388,9.438336565175875,3.839190795415913,8.844318995836966,9.235898402057174,9.42507163289997,6.171106865923568,8.873204970600463,9.327257018900273,7.001093935734022,10.782223483327684,11.085158904463814
