PROJECTION,TNG_ID,REDSHIFT,SERSIC_IDX,HALFLIGHT_RAD,AXIS_RATIO,LOS_SIGMA,SPS_MASS_STAR,MASS_GAS,MASS_DM,MASS_ALL,MASS_ALL_HMR,HMRAD_STAR,SPS_LUM,MLR,SFR,SLOPE_GAS,SLOPE_STAR,SLOPE_DM,SLOPE_ALL,INTERCEPT_GAS,INTERCEPT_STAR,INTERCEPT_DM,INTERCEPT_ALL,HALFLIGHT_BRIGHTNESS,SERSIC_MASS_STAR,MASS_DM_HMR,MASS_SMBH,TNG_MASS_STAR_HALFLIGHT_RAD,TNG_MASS_STAR_TWO_HALFLIGHT_RAD,LUM_HALFLIGHT_RAD,LUM_TWO_HALFLIGHT_RAD,MASS_STAR_HALFLIGHT_RAD,MASS_STAR_TWO_HALFLIGHT_RAD,SPS_LUM_ONE_HALFLIGHT_RAD,SPS_LUM_TWO_HALFLIGHT_RAD
2,364864,0.06,10.0463181,0.7110736504,0.7989160651,2.199608124,10.99933063,1.387708717,12.6293682,12.66509475,11.07292351,0.8206615306,10.3531676,4.42754554,0.2479925752,-1.531435806,3.120770281,1.847988254,2.142052154,3.843962466,6.953274703,7.376226524,7.541499625,5.709504463,11.18458107,3.8949444,0.035950713,10.74123249,10.8701272,10.23738804,10.33219758,10.88355108,10.97836062,10.07257858,10.21653691
0,417607,0.05,2.871350299,0.6971117476,0.6729604328,2.192975427,11.04989678,1.174370592,12.42340175,12.46580684,11.10915042,0.9017380958,10.49444046,3.592992548,0.09342943132,1.067470953,2.980953632,1.873399905,2.129201646,4.576520193,6.776058774,7.181520773,7.344796747,5.967441025,11.05948847,4.543091,0.024347257,10.66861211,10.84572393,10.2030027,10.36240677,10.75845901,10.91786308,10.0883679,10.28937191
1,417607,0.05,2.841375836,0.7551652314,0.9021145341,2.139630798,11.04989678,1.174370592,12.42340175,12.46580684,11.10915042,0.9017380958,10.49444046,3.592992548,0.09342943132,1.067470953,2.980953632,1.873399905,2.129201646,4.576520193,6.776058774,7.181520773,7.344796747,5.86774233,11.07373009,4.543091,0.024347257,10.70846918,10.87115805,10.21724435,10.37729282,10.77270066,10.93274914,10.0883679,10.28937191
2,417607,0.05,3.759593373,0.7591705146,0.6344841192,2.167914239,11.04989678,1.174370592,12.42340175,12.46580684,11.10915042,0.9017380958,10.49444046,3.592992548,0.09342943132,1.067470953,2.980953632,1.873399905,2.129201646,4.576520193,6.776058774,7.181520773,7.344796747,5.799469964,11.0716545,4.543091,0.024347257,10.71132609,10.87297386,10.21516836,10.35857367,10.77062468,10.91402999,10.0883679,10.28937191
0,310985,0,9.691902878,0.6891851493,0.6253857739,2.365851479,11.31976937,1.948512338,13.13638292,13.17137573,11.35733906,0.7430878495,10.61640528,5.050845505,0.005899577402,1.445491515,3.285100818,1.840132159,2.221252336,4.894816163,7.408221403,7.754951149,7.951358776,6.002180201,11.48299214,6.5527487,0.09006286,11.08849251,11.1995924,10.47859806,10.57491217,11.18196214,11.27827626,10.34164316,10.47060811
1,310985,0,11.21838945,0.7767641634,0.7325606027,2.312998208,11.31976937,1.948512338,13.13638292,13.17137573,11.35733906,0.7430878495,10.61640528,5.050845505,0.005899577402,1.445491515,3.285100818,1.840132159,2.221252336,4.894816163,7.408221403,7.754951149,7.951358776,5.810463355,11.49776902,6.5527487,0.09006286,11.12668959,11.22200213,10.49337495,10.58368521,11.19673903,11.2870493,10.34164316,10.47060811
0,347316,0.05,4.581000603,0.943527685,0.4618014989,2.313517628,11.1912332,1.572298267,12.79892292,12.83711785,11.39663483,1.11133924,10.59090982,3.984037186,0.2984868586,1.147528466,2.895377649,1.763013958,1.94276971,4.880759509,6.292031689,6.897689776,7.012562723,5.576110834,11.30333559,9.853643,0.04409353,10.9398556,11.07890804,10.40198229,10.5343688,11.00230567,11.13469218,10.34339632,10.49531358
0,454894,0.05,5.174589844,0.4757772,0.5750807684,2.041542034,10.65691989,-0.005485613309,12.14066284,12.15896148,10.62462163,0.6738860793,10.15798087,3.154561631,0.002742871642,2.321768839,3.015444068,1.803906618,2.158983617,5.023393131,7.002348419,7.277154125,7.489170648,5.983736032,10.6997723,1.1628209,0.014698869,10.29840006,10.44945241,9.899803338,10.02570731,10.39874236,10.52464633,9.809610982,9.956059729
1,454894,0.05,4.783073004,0.4419783842,0.700934405,2.063456702,10.65691989,-0.005485613309,12.14066284,12.15896148,10.62462163,0.6738860793,10.15798087,3.154561631,0.002742871642,2.321768839,3.015444068,1.803906618,2.158983617,5.023393131,7.002348419,7.277154125,7.489170648,6.032459943,10.66429474,1.1628209,0.014698869,10.27861925,10.43524401,9.864325797,9.994388275,10.36326481,10.49332729,9.809610982,9.956059729
2,454894,0.05,6.808575962,0.5354594283,0.8469153075,1.954030363,10.65691989,-0.005485613309,12.14066284,12.15896148,10.62462163,0.6738860793,10.15798087,3.154561631,0.002742871642,2.321768839,3.015444068,1.803906618,2.158983617,5.023393131,7.002348419,7.277154125,7.489170648,5.838286356,10.73186957,1.1628209,0.014698869,10.33080929,10.47280916,9.931900572,10.04408603,10.43083959,10.54302504,9.809610982,9.956059729
0,327082,0.06,5.599889332,0.8011564077,0.7535989101,2.16247195,11.09875053,1.729071692,12.8486918,12.88922766,11.18333066,0.9214653239,10.43637586,4.595943312,0.03615605086,-0.08350303573,2.913208444,1.619295282,1.888889098,4.622113071,6.750293965,7.223263986,7.375001273,5.634706992,11.18164336,5.067877,0.053106006,10.84193163,10.97335541,10.21823874,10.3400688,10.8806134,11.00244346,10.14054702,10.28588649
1,327082,0.06,3.920879854,0.7461847413,0.8195377838,2.208857522,11.09875053,1.729071692,12.8486918,12.88922766,11.18333066,0.9214653239,10.43637586,4.595943312,0.03615605086,-0.08350303573,2.913208444,1.619295282,1.888889098,4.622113071,6.750293965,7.223263986,7.375001273,5.769285622,11.13120524,5.067877,0.053106006,10.81543837,10.95072597,10.16780073,10.30881214,10.8301754,10.9711868,10.14054702,10.28588649
2,327082,0.06,5.567545282,0.7271365493,0.7370771896,2.237599963,11.09875053,1.729071692,12.8486918,12.88922766,11.18333066,0.9214653239,10.43637586,4.595943312,0.03615605086,-0.08350303573,2.913208444,1.619295282,1.888889098,4.622113071,6.750293965,7.223263986,7.375001273,5.787831382,11.18550169,5.067877,0.053106006,10.80539245,10.94245101,10.22209707,10.34422244,10.88447173,11.00659711,10.14054702,10.28588649
0,504193,0.03,2.829815835,0.4611915583,0.8126219016,2.049232282,10.63382995,-0.3191543621,12.08297993,12.10058002,10.69819812,0.7207199905,10.02869037,4.02846483,0,2.291216898,3.151547792,1.845262654,2.127745126,4.519539362,6.909081511,7.354679324,7.511805677,5.97997722,10.64685951,1.840796,0.013668346,10.15596234,10.38888919,9.740690516,9.900989746,10.34583009,10.50612932,9.5638151,9.78614648
1,504193,0.03,3.120238282,0.5089642681,0.7091842513,2.034091966,10.63382995,-0.3191543621,12.08297993,12.10058002,10.69819812,0.7207199905,10.02869037,4.02846483,0,2.291216898,3.151547792,1.845262654,2.127745126,4.519539362,6.909081511,7.354679324,7.511805677,5.884357412,10.66699666,1.840796,0.013668346,10.20073683,10.41741309,9.760827467,9.915182441,10.36596704,10.52032202,9.5638151,9.78614648
2,504193,0.03,3.236494533,0.4781441563,0.7646686311,2.034209977,10.63382995,-0.3191543621,12.08297993,12.10058002,10.69819812,0.7207199905,10.02869037,4.02846483,0,2.291216898,3.151547792,1.845262654,2.127745126,4.519539362,6.909081511,7.354679324,7.511805677,5.936694061,10.6652857,1.840796,0.013668346,10.17294623,10.39940539,9.759116455,9.911281322,10.36425603,10.5164209,9.5638151,9.78614648
0,299761,0.07,11.53123577,0.7777695963,0.7630569047,2.249965381,11.15414629,1.945720409,13.05596264,13.09481126,11.26095067,0.797547782,10.45795139,4.968152278,0.02714323997,0.681228694,3.165968486,1.744722997,2.023628157,4.86823973,7.147196598,7.697164208,7.834818123,5.669925128,11.35797196,6.1599174,0.060438704,10.95994085,11.05688153,10.36074706,10.44996454,11.05694196,11.14615944,10.2154292,10.33575416
1,299761,0.07,10.53102971,0.7186800484,0.7102241096,2.281456098,11.15414629,1.945720409,13.05596264,13.09481126,11.26095067,0.797547782,10.45795139,4.968152278,0.02714323997,0.681228694,3.165968486,1.744722997,2.023628157,4.86823973,7.147196598,7.697164208,7.834818123,5.78567266,11.33608718,6.1599174,0.060438704,10.93941612,11.03778996,10.33886229,10.43172791,11.03505719,11.12792281,10.2154292,10.33575416
2,299761,0.07,9.306136643,0.7059728718,0.6950063047,2.30559423,11.15414629,1.945720409,13.05596264,13.09481126,11.26095067,0.797547782,10.45795139,4.968152278,0.02714323997,0.681228694,3.165968486,1.744722997,2.023628157,4.86823973,7.147196598,7.697164208,7.834818123,5.789607721,11.28813563,6.1599174,0.060438704,10.93488992,11.03350759,10.29091074,10.38895042,10.98710564,11.08514532,10.2154292,10.33575416
0,430022,0.02,4.364305707,0.4358858106,0.7758478689,2.141568083,10.75824589,1.021847182,12.33877159,12.37059669,10.69780232,0.5943863035,10.23853722,3.309090657,0.02894251235,-0.3247841831,3.201416514,1.811850784,2.255188014,4.831097367,7.369673682,7.559823454,7.812478853,6.200425296,10.82155854,1.3139876,0.014636945,10.38452376,10.55869493,10.00081997,10.13585114,10.52052864,10.6555598,9.838329272,10.01776802
1,430022,0.02,4.549913753,0.5140280842,0.8169725093,2.024593587,10.75824589,1.021847182,12.33877159,12.37059669,10.69780232,0.5943863035,10.23853722,3.309090657,0.02894251235,-0.3247841831,3.201416514,1.811850784,2.255188014,4.831097367,7.369673682,7.559823454,7.812478853,6.050643762,10.83682134,1.3139876,0.014636945,10.43840506,10.59110611,10.01608277,10.14883862,10.53579143,10.66854728,9.838329272,10.01776802
2,430022,0.02,4.071101012,0.4876714574,0.6804447119,2.092418624,10.75824589,1.021847182,12.33877159,12.37059669,10.69780232,0.5943863035,10.23853722,3.309090657,0.02894251235,-0.3247841831,3.201416514,1.811850784,2.255188014,4.831097367,7.369673682,7.559823454,7.812478853,6.102784053,10.81288891,1.3139876,0.014636945,10.42124283,10.58066596,9.992150374,10.13104256,10.51185904,10.65075123,9.838329272,10.01776802
0,370225,0.01,9.121597329,0.789817032,0.5354762347,2.138593072,10.99884549,1.439321843,12.81100597,12.837059,11.10887167,0.8445533015,10.33315031,4.631217569,0.03954854608,1.341912287,3.055693219,1.681953043,1.950198825,4.589072885,6.785832579,7.320802379,7.458712582,5.543845379,11.17527847,4.4424815,0.040937737,10.77279876,10.88508772,10.20855329,10.30745334,10.87424848,10.97314853,10.05180529,10.19000152
1,370225,0.01,9.360648262,0.801189597,0.5117290039,2.157130876,10.99884549,1.439321843,12.81100597,12.837059,11.10887167,0.8445533015,10.33315031,4.631217569,0.03954854608,1.341912287,3.055693219,1.681953043,1.950198825,4.589072885,6.785832579,7.320802379,7.458712582,5.497954883,11.15766582,4.4424815,0.040937737,10.77769317,10.88911353,10.19094065,10.28873063,10.85663583,10.95442581,10.05180529,10.19000152
2,370225,0.01,7.374389171,0.716041885,0.7515220818,2.285056817,10.99884549,1.439321843,12.81100597,12.837059,11.10887167,0.8445533015,10.33315031,4.631217569,0.03954854608,1.341912287,3.055693219,1.681953043,1.950198825,4.589072885,6.785832579,7.320802379,7.458712582,5.660287478,11.09878495,4.4424815,0.040937737,10.73992686,10.85999627,10.13205978,10.24048341,10.79775496,10.90617859,10.05180529,10.19000152
